題號,題目,A,B,C,D,E,答案
1, 中央銀行利用何種工具來影響貨幣供給？, 公開市場操作;改變重貼現率;改變存款準備率　, 徵稅;公開市場操作;改變重貼現率　, 徵稅;發行通貨;改變利率　, 公開市場操作;發行通貨;發行公債　,, A
2," 當一國物價水準居高不下時,央行應採取什麼因應政策？", 擴張信用　, 降低利率　, 提高存款準備率　, 降低房屋貸款利率　,, C
3," 當國內存在不景氣與失業的現象時,政府可採行的政策有很多,但並不包含：", 提高存款準備率　, 通過獎勵投資條例，對投資提供租稅獎勵　, 普遍性的減稅　, 在公開市場買進公債　,, A
4," 中央銀行宣佈調高存款準備率,如此一來會使廠商：", 減少生產與投資　, 增加生產與投資　," 增加投資,但降低生產　"," 增加生產,但降低投資　",, A
5," 中央銀行在公開市場買賣公債以調節貨幣供給,此政策稱為：", 重貼現政策　, 公開市場操作　, 公債政策　, 準備率政策　,, B
6, 為何實際上央行很少運用重貼現率政策來影響貨幣供給量？," 只能產生間接效果,其成功與否要取決於銀行的反應　"," 只能釋出或回收大筆資金,靈活度不足　"," 須經由理監事會議通過,手續繁雜　", 調高重貼現率將使央行放款減少而獲利衰退　,, A
7," 年關將近,通貨發行餘額創下新高記錄,中央銀行如欲減少貨幣供給數量,可以："," 降低存款準備率,同時降低重貼現率　"," 提高重貼現率,同時在公開市場買進公債　"," 提高存款準備率,同時在公開市場釋出持有之公債　"," 降低存款準備率,同時在公開市場釋出持有之公債　",, C
8, 中央銀行採行下列何種政策會使貨幣供給增加？, 在公開市場買進美元　, 宣佈調高重貼現率　, 在公開市場賣出持有之公債　, 宣佈調高存款準備率　,, A
9, 我們為何稱中央銀行為資金最終的貸放者？," 當商業銀行需要資金,但又無法由其他管道獲得,可向中央銀行請求融通　"," 當政府需要資金,但又無法由其他管道獲得,可向中央銀行請求融通　"," 當商業銀行倒閉時,中央銀行須概括承受其債權與債務　"," 當廠商無法由商業銀行取得資金時,可向中央銀行請求融通　",, A
10," 若中央銀行宣佈調高重貼現率,則：", 銀行更有意願向中央銀行請求資金融通　, 利率將下跌　, 貨幣供給將降低　, 廠商將更有意願投資　,, C
11," 若中央銀行在公開市場釋出大批債券,將導致：", 企業加速投資　, 減少家庭開支　, 債券價格上揚　, 股市爆量上漲　,, B
